id,name,sex,age,height,weight,year,season,sport,event,medal,country
97672,Karen Putzer,F,23,161,59,2002,Winter,Alpine Skiing,Alpine Skiing Women's Super G,Bronze,Italy
97682,Carlos Puyol Saforcada,M,22,178,78,2000,Summer,Football,Football Men's Football,Silver,Spain
97686,Olga Vasilyevna Puzhevich,F,17,167,43,2000,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,Belarus
97703,Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),F,26,163,55,2002,Winter,Biathlon,Biathlon Women's 10 kilometres Pursuit,Gold,Russia
97703,Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),F,26,163,55,2002,Winter,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze,Russia
97703,Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),F,34,163,55,2010,Winter,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold,Russia
97740,Elmar Qasmov,M,25,188,100,2016,Summer,Judo,Judo Men's Half-Heavyweight,Silver,Azerbaijan
97745,Xetaq Qazyumov,M,25,180,97,2008,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,Azerbaijan
97745,Xetaq Qazyumov,M,29,180,97,2012,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,Azerbaijan
97745,Xetaq Qazyumov,M,33,180,97,2016,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Azerbaijan
97767,Qieyang Shenjie,F,21,160,45,2012,Summer,Athletics,Athletics Women's 20 kilometres Walk,Bronze,China
97769,Qin Dongya,F,24,172,70,2004,Summer,Judo,Judo Women's Middleweight,Bronze,China
97771,Qin Kai,M,22,170,65,2008,Summer,Diving,Diving Men's Springboard,Bronze,China
97771,Qin Kai,M,22,170,65,2008,Summer,Diving,Diving Men's Synchronized Springboard,Gold,China
97771,Qin Kai,M,26,170,65,2012,Summer,Diving,Diving Men's Springboard,Silver,China
97771,Qin Kai,M,26,170,65,2012,Summer,Diving,Diving Men's Synchronized Springboard,Gold,China
97771,Qin Kai,M,30,170,65,2016,Summer,Diving,Diving Men's Synchronized Springboard,Bronze,China
97775,Qin Yiyuan,F,27,173,62,2000,Summer,Badminton,Badminton Women's Doubles,Bronze,China
97778,Qiu Bo,M,19,165,58,2012,Summer,Diving,Diving Men's Platform,Silver,China
97781,Qiu Jian,M,33,176,81,2008,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,China
97801,Rasmus Christian Quaade,M,26,187,78,2016,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Denmark
97805,Ketleyn Lima Quadros,F,20,164,57,2008,Summer,Judo,Judo Women's Lightweight,Bronze,Brazil
97815,Megan M. Quann-Jendrick,F,16,170,64,2000,Summer,Swimming,Swimming Women's 100 metres Breaststroke,Gold,USA
97815,Megan M. Quann-Jendrick,F,16,170,64,2000,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,USA
97815,Megan M. Quann-Jendrick,F,24,170,64,2008,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,USA
97837,Jason Paul Queally,M,30,183,88,2000,Summer,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,UK
97837,Jason Paul Queally,M,30,183,88,2000,Summer,Cycling,Cycling Men's Team Sprint,Silver,UK
