id,name,sex,age,height,weight,year,season,sport,event,medal,country,medal_count
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21,170,65,2000,Summer,Basketball,Basketball Women's Basketball,Bronze,Brazil,1
1071,Kseniya Dmitriyevna Afanasyeva,F,20,158,48,2012,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver,Russia,1
1085,Maksim Sergeyevich Afinogenov,M,22,183,88,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Russia,1
1095,Cecil Sebastian Afrika,M,28,175,75,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa,1
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,South Africa,1
1114,Luca Agamennoni,M,24,187,93,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze,Italy,1
1114,Luca Agamennoni,M,27,187,93,2008,Summer,Rowing,Rowing Men's Quadruple Sculls,Silver,Italy,1
1131,Clarisse Agbegnenou,F,23,164,66,2016,Summer,Judo,Judo Women's Half-Middleweight,Silver,France,1
1169,Marilyn Agliotti,F,29,172,58,2008,Summer,Hockey,Hockey Women's Hockey,Gold,Netherlands,1
1169,Marilyn Agliotti,F,33,172,58,2012,Summer,Hockey,Hockey Women's Hockey,Gold,Netherlands,1
1173,Yannick Agnel,M,20,202,90,2012,Summer,Swimming,Swimming Men's 200 metres Freestyle,Gold,France,1
1173,Yannick Agnel,M,20,202,90,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,France,1
1173,Yannick Agnel,M,20,202,90,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,France,1
1181,Meghan Christina Agosta (-Marciano),F,18,168,67,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada,1
1181,Meghan Christina Agosta (-Marciano),F,23,168,67,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada,1
1181,Meghan Christina Agosta (-Marciano),F,26,168,67,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,Canada,1
1188,"Benjamin Alexandro ""Ben"" Agosto",M,24,178,75,2006,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,USA,1
1220,Sergio Leonel Agero del Castillo,M,20,172,74,2008,Summer,Football,Football Men's Football,Gold,Argentina,1
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23,175,70,2000,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Cuba,1
1254,Macarena Aguilar Daz,F,27,170,67,2012,Summer,Handball,Handball Women's Handball,Bronze,Spain,1
1262,Sandra Aguilar Navarro,F,23,167,50,2016,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,Spain,1
1301,Sri Wahyuni Agustiani,F,21,147,47,2016,Summer,Weightlifting,Weightlifting Women's Flyweight,Silver,Indonesia,1
1313,Robyn Mokihana Ah Mow-Santos,F,32,172,67,2008,Summer,Volleyball,Volleyball Women's Volleyball,Silver,USA,1
1340,Annica Gunilla hln,F,27,177,75,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,Sweden,1
1356,Christian Ahlmann,M,29,189,80,2004,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Germany,1
1356,Christian Ahlmann,M,41,189,80,2016,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Germany,1
1374,Tontowi Ahmad,M,29,179,72,2016,Summer,Badminton,Badminton Mixed Doubles,Gold,Indonesia,1
1379,Jrg Ahmann,M,34,190,88,2000,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,Germany,1
1435,Janne Petteri Ahonen,M,24,184,66,2002,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,Finland,1
1435,Janne Petteri Ahonen,M,28,184,66,2006,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,Finland,1
1444,"Christian ""Chris"" Ahrens",M,28,195,97,2004,Summer,Rowing,Rowing Men's Coxed Eights,Gold,USA,1
1466,Matteo Aicardi,M,26,192,102,2012,Summer,Water Polo,Water Polo Men's Water Polo,Silver,Italy,1
1466,Matteo Aicardi,M,30,192,102,2016,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,Italy,1
1467,Mara Magdalena Aicega Amicarelli,F,26,165,60,2000,Summer,Hockey,Hockey Women's Hockey,Silver,Argentina,1
1467,Mara Magdalena Aicega Amicarelli,F,30,165,60,2004,Summer,Hockey,Hockey Women's Hockey,Bronze,Argentina,1
1467,Mara Magdalena Aicega Amicarelli,F,34,165,60,2008,Summer,Hockey,Hockey Women's Hockey,Bronze,Argentina,1
1478,Rosaria Aiello,F,27,172,74,2016,Summer,Water Polo,Water Polo Women's Water Polo,Silver,Italy,1
1481,Hannes Aigner,M,23,183,75,2012,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze,Germany,1
1487,Ryoji Aikawa,M,28,183,85,2004,Summer,Baseball,Baseball Men's Baseball,Bronze,Japan,1
1498,"Charles Benedict ""Ben"" Ainslie",M,23,183,90,2000,Summer,Sailing,Sailing Mixed One Person Dinghy,Gold,UK,1
1498,"Charles Benedict ""Ben"" Ainslie",M,27,183,90,2004,Summer,Sailing,Sailing Men's One Person Dinghy,Gold,UK,1
1498,"Charles Benedict ""Ben"" Ainslie",M,31,183,90,2008,Summer,Sailing,Sailing Mixed One Person Dinghy,Gold,UK,1
1498,"Charles Benedict ""Ben"" Ainslie",M,35,183,90,2012,Summer,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold,UK,1
1500,Kurt Harold Ainsworth,M,22,187,84,2000,Summer,Baseball,Baseball Men's Baseball,Gold,USA,1
1534,Brett Aitken,M,29,173,65,2000,Summer,Cycling,Cycling Men's Madison,Gold,Australia,1
1540,Artur Surenovych Aivazian,M,35,177,88,2008,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,Ukraine,1
1546,Eirini Andili,F,17,167,45,2000,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,Greece,1
1551,"Oluwafemi ""Junior"" Ajayi",M,20,172,79,2016,Summer,Football,Football Men's Football,Bronze,Nigeria,1
1554,Omar Ajete Iglesias,M,35,175,93,2000,Summer,Baseball,Baseball Men's Baseball,Silver,Cuba,1
1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23,185,75,2008,Summer,Football,Football Men's Football,Silver,Nigeria,1
1561,Mobolade Abimbola Ajomale,M,20,180,62,2016,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Canada,1
1634,Taha Akgl,M,25,192,125,2016,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Turkey,1
1639,Albina Khamitovna Akhatova,F,25,160,55,2002,Winter,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze,Russia,1
1639,Albina Khamitovna Akhatova,F,29,160,55,2006,Winter,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze,Russia,1
1639,Albina Khamitovna Akhatova,F,29,160,55,2006,Winter,Biathlon,Biathlon Women's 15 kilometres,Bronze,Russia,1
